state,state_code,posture,posture_detail,key_action,source_url,last_verified_date,confidence_level
Illinois,IL,Push back,moratorium + ratepayer regulation,"Gov. Pritzker 2-year tax incentive moratorium; POWER Act (SB 4016/HB 5513) ratepayer/environmental standards",https://www.nbcnews.com/politics/politics-news/gov-jb-pritzker-suspending-tax-incentives-data-centers-illinois-rcna259297,2026-03-02,High
Oregon,OR,Push back,ratepayer protection + cost allocation,"HB 3546 POWER Act (signed 2025): separate rate class for >20MW users; mandatory 10-year contracts",https://www.opb.org/article/2025/06/05/oregon-data-centers-cryptocurrency-business-environment-power-electricity/,2026-03-02,High
Colorado,CO,Neutral/Mixed,dueling incentive vs. regulation bills,"SB25-280 (tax incentives + grid modernization) vs. SB 26-102 (strict clean energy mandates)",https://coloradosun.com/2026/01/23/colorado-data-center-bills-incentives-regulations/,2026-03-02,High
Massachusetts,MA,Push back,renewable mandate + ratepayer protection,"H.5151 (80% renewable requirement; special data center tariffs; ratepayer protection)",https://www.energychoicematters.com/stories/20260226ga.html,2026-03-02,High
Washington,WA,Push back,ratepayer protection + clean energy mandate,"HB 2515/SB 6171 (ratepayer tariffs; 80% renewable by 2030; reporting requirements; passed House 51-41)",https://washingtonstatestandard.com/2026/02/11/how-wa-lawmakers-are-trying-to-regulate-data-centers/,2026-03-02,High
New Mexico,NM,Neutral/Mixed,incentives + growing oversight,"Project Jupiter $165B IRBs approved; but PRC oversight bill drafted; Bernalillo County paused incentives",https://sourcenm.com/2026/01/14/nm-lawmaker-proposes-more-oversight-regulations-for-data-center-microgrids/,2026-03-02,High
New Jersey,NJ,Neutral/Mixed,incentives + study mandate,"$250M AI data center tax credit; Next NJ AI program; but Gov. Murphy conditional veto requiring BPU ratepayer study; A5462 (special tariffs)",https://newjerseymonitor.com/2025/10/20/governor-data-centers-veto/,2026-03-02,High
Connecticut,CT,Push back,tax rollback + reporting mandates,"SB 245 (eliminate tax incentives after July 2026); HB 5076 (energy/water efficiency); SB 1292 (usage reporting)",https://www.wshu.org/connecticut-news/2026-02-27/ct-ai-data-centers-regulations,2026-03-02,High
Minnesota,MN,Neutral/Mixed,extended incentives + new fees and regulation,"35-year IT tax exemption extension; but electricity exemption repealed; $2M-$5M annual fees; separate rate class; water reporting",https://www.house.mn.gov/NewLaws/story/2025/5641,2026-03-02,High
Wisconsin,WI,Push back,moratorium proposed,"SB 1061 (moratorium on new data centers until planning authority + safeguards established; voter referendum required)",https://wisconsinexaminer.com/2026/02/12/democratic-lawmakers-propose-data-center-moratorium/,2026-03-02,High
Delaware,DE,Push back,PSC certification + zoning restrictions,"SB 205 (PSC certificate for >30MW data centers); New Castle County zoning restrictions; moratorium calls",https://www.delawarepublic.org/politics-government/2025-09-29/new-bill-would-impose-more-regulations-on-data-centers-looking-to-set-up-shop-in-delaware,2026-03-02,High
Ohio,OH,Push back,tax incentive sunset,"Senate budget proposal to end data center tax exemptions after Oct 2025; criticism of cost-per-job ratios",https://www.nbc4i.com/intel-in-ohio/ohio-considers-eliminating-tax-incentives-for-data-centers/,2026-03-02,High
Idaho,ID,Push back,tax cap + utility cost recovery,"HB 315 (7-year tax exemption cap); HB 609 (sunset 2036; full utility cost recovery; no stacking); Kootenai County moratorium",https://boisedev.com/news/2025/03/04/hb-315-mar-2025/,2026-03-02,High
