state,bill,title,type,status_2026,key_provision,sponsor,source
New York,"A 10141 / S9144",Data Center Construction Moratorium,Moratorium,Introduced,"3-year halt on all data center construction; DEC and PSC to adopt impact rules","Sen. Liz Krueger (D), Asm. Anna Kelles (D)",MultiState (Feb 2026)
Oklahoma,SB 1488,Data Center Moratorium,Moratorium,Introduced,"Moratorium on >100MW data centers until Nov 2029; PUC study of water/rates/property",Sen. Kendal Sacchieri,MultiState (Feb 2026)
Oklahoma,HB 2992,Data Center Consumer Ratepayer Protection Act,Ratepayer protection,Filed Jan 2026,"Data centers pay proportional infrastructure costs; prevent cost pass-through to ratepayers","Rep. Brad Boles (R-Marlow)",OK House press release (Jan 2026)
Oklahoma,HB 4424,Data Center Tax Incentive Sunset,Tax incentive rollback,Filed 2026,End tax incentives for data centers not operating by Jan 1 2027,TBD,MultiState (Feb 2026)
Virginia,HB 1515,Data Center Site Application Moratorium,Moratorium,Introduced Jan 2026,"Halt all new data center site applications until July 2028 or fulfillment of pending interconnection",Del. Irene Shin,MultiState (Feb 2026)
Virginia,HB 961,Data Center Tax Incentive Reduction,Tax incentive rollback,Introduced 2026,Reduce tax incentives to replacement equipment and repairs only,TBD,MultiState (Feb 2026)
Virginia,HB 897,Emission-Free Backup Generator Requirement,Environmental condition,Introduced 2026,Require emission-free backup generators for tax incentive eligibility,TBD,MultiState (Feb 2026)
Georgia,SB 476,Eliminate Corporate Tax Credits,Tax incentive rollback,Introduced 2026,"Eliminate all corporate tax credits (including data center) to fund income tax reduction","Sen. Blake Tillery (R)",MultiState (Feb 2026)
Vermont,S.205,Data Center Construction Moratorium,Moratorium,Introduced 2026,"Freeze data center construction until July 2030; PUC investigation of environmental/economic impacts",Multiple senators,MultiState (Feb 2026)
Maryland,HB 120,Emergency Data Center Moratorium,Moratorium,Introduced 2026,"Prevent new data center construction until co-location legislation passes; require co-located power generation",TBD,MultiState (Feb 2026)
South Dakota,SB 232,Hyperscale Data Center Moratorium,Moratorium,Introduced 2026,1-year moratorium on expansion or new hyperscale data center construction,TBD,MultiState (Feb 2026)
Alabama,SB 270,Large Load Customer Conditions,Ratepayer protection,Introduced 2026,"PSC to condition permits on infrastructure cost coverage; require statewide ratepayer benefit demonstration",TBD,MultiState (Feb 2026)
Arizona,HB 2756,Grid Connection Cost Protections,Ratepayer protection,Introduced 2026,PUC rules ensuring grid connection costs not shifted to other retail customers,TBD,MultiState (Feb 2026)
Arkansas,Act 373 (SB 307),Generating Arkansas Jobs Act of 2025,Regulatory accommodation,Signed 2025-03-20,"PSC bypass via iterative resubmission; strategic investment rider; auto-approval default","Sen. Jonathan Dismang (R-Searcy)","BillTrack50, Talk Business"
Arkansas,Act 548 (HB 1444),Data Center Tax Exemption Amendment,Tax incentive expansion,Signed 2025-04-10,"$100M threshold; $2B Qualified Large Data Center across nonadjacent sites; fiber tax-exempt","Rep. Aaron Pilkington (R-Knoxville)","Kutak Rock, BillTrack50"
New Hampshire,HB 672,Off-Grid Electricity Provider,Regulatory exemption,Effective 2025-08-01,"Off-grid providers not public utilities; exempt from PUC oversight; lose exemption on grid connection",TBD,"BillTrack50, NH Legislature"
Texas,HB 2559,Local Moratorium Preemption,Preemption of local authority,Passed 2025,Clarifies and restricts local government authority to impose development moratoriums,TBD,"KERA News, Texas Legislature"
